tranId,postingPeriodRef,vendorRef,tranDate,payableAccountRef,termsRef,memo,purchaseItemline_itemRef,purchaseItemline_quantity,purchaseItemline_serialNumbers,purchaseitemline_unitsRef,purchaseItemLine_rate,purchaseItemLine_amount,purchaseItemLine_memo,purchaseItemLine_departmentRef,purchaseItemLine_classRef,purchaseItemLine_locationRef,purchaseItemLine_customerRef,purchaseItemLine_isBillable,purchaseItemLine_taxCodeRef,purchaseItemLine_taxCodeAmount
82140811EAT,Aug 2025,Big Geyser Inc.,08/19/2025,,CHAIN 30,,,1,,,0.0,0.0,35807JUST ICE TEA 12/16OZ MANGO WHITE TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82142430EAT,Aug 2025,Big Geyser Inc.,08/20/2025,,CHAIN 30,,,1,,,0.0,0.0,35803JUST ICE TEA 12/16OZ PEACH OOLONG TEA135804JUST ICE TEA 12/16OZ HALF & HALF135807JUST ICE TEA 12/16OZ MANGO WHITE TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82144713EAT,Aug 2025,Big Geyser Inc.,08/20/2025,,CHAIN 30,,,1,,,0.0,0.0,35803JUST ICE TEA 12/16OZ PEACH OOLONG TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82144714EAT,Aug 2025,Big Geyser Inc.,08/20/2025,,CHAIN 30,,,1,,,0.0,0.0,35800JUST ICE TEA 12/16OZ ORIGINAL GREEN TEA UNSWEET1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82144715EAT,Aug 2025,Big Geyser Inc.,08/20/2025,,CHAIN 30,,,1,,,0.0,0.0,35801JUST ICE TEA 12/16OZ HONEY GREEN TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82144716EAT,Aug 2025,Big Geyser Inc.,08/21/2025,,CHAIN 30,,,1,,,0.0,0.0,35804JUST ICE TEA 12/16OZ HALF & HALF1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82144908EAT,Aug 2025,Big Geyser Inc.,08/21/2025,,CHAIN 30,,,1,,,0.0,0.0,35850JUST ICE TEA 12/12OZ CANS LEMON BLACK TEA435851JUST ICE TEA 12/12OZ CANS RASPBERRY BLACK TEA435852JUST ICE TEA 12/12OZ CANS DRAGON GREEN TEA435853JUST ICE TEA 12/12OZ CANS GOLDEN OOLONG435854JUST ICE TEA 12/12OZ CANS ENJOY MINT4-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82146350EAT,Aug 2025,Big Geyser Inc.,08/22/2025,,CHAIN 30,,,1,,,0.0,0.0,35803JUST ICE TEA 12/16OZ PEACH OOLONG TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82148295EAT,Aug 2025,Big Geyser Inc.,08/22/2025,,CHAIN 30,,,1,,,0.0,0.0,35802JUST ICE TEA 12/16OZ MOROCCAN MINT GREEN TEA135806JUST ICE TEA 12/16OZ ORIGINAL BLACK TEA UNSWEET135807JUST ICE TEA 12/16OZ MANGO WHITE TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82148613EAT,Aug 2025,Big Geyser Inc.,08/22/2025,,CHAIN 30,,,1,,,0.0,0.0,35804JUST ICE TEA 12/16OZ HALF & HALF1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
82148872EAT,,Big Geyser Inc.,,,CHAIN 30,,,1,,,0.0,0.0,35803JUST ICE TEA 12/16OZ PEACH OOLONG TEA1-------------------------------------------------------------------------------,,Unmapped,,,False,,0.0
